workbook_row,lab_name,unlock_tier,ranking_primary,ranking_conditional,notes,is_unlocked_cached,player_ranking_cached,status_cached,lab_canonical_id,mapping_status,ranking_primary_order,ranking_conditional_order,evidence_type,source_workbook,source_sheet,source_version,advisory_status,authoritative_for,not_authoritative_for
13,Card Presets,T1,QOL,,"Most useful for having different cards for farm, tourney, and various missions",True,Completed,Completed,LAB_CARD_PRESETS,exact_catalog,8,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
14,Workshop Respec,T4,QOL,S,Required for devo strategies and almost mandatory for legend league tournaments. If blender and not in legend it's nice to make the buy workshop upgrades mission cheaper,True,Completed,Completed,LAB_WORKSHOP_RESPEC,exact_catalog,8,1.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
15,Reroll Daily Mission,,QOL,,Costs 5 gems to use,True,Completed,Completed,LAB_REROLL_DAILY_MISSIONS,exact_catalog,8,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
16,Workshop Enhancements,T12,B,S,becomes required to progress after 1T~ LTC,True,Completed,Completed,LAB_WORKSHOP_ENHANCEMENT,manual_alias_override,3,1.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
17,Enhancement Attack - Coin Discount,T21,B,,"ASPD+ is really good to get cheaper, alongisde the damage that's required by the time this lab is unlocked",False,B,B,LAB_ENHANCEMENT_ATTACK_COIN_DISCOUNT,manual_alias_override,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
18,Enhancement Defense - Coin Discount,,B,,"The 500T unlock is Orb Size, the least useful of the three",False,B,B,LAB_ENHANCEMENT_DEFENSE_COIN_DISCOUNT,manual_alias_override,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
19,Enhancement Utility - Coin Discount,,A,,ELS+ and Coin+ are some of the strongest enchancements in the game,False,A,A,LAB_ENHANCEMENT_UTILITY_COIN_DISCOUNT,manual_alias_override,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
21,Damage,T1,B,,"Most useful after owning a damage UW like Chain Lightning, still retains some utility for early towers in tournaments or against protectors/elites",True,B,B,LAB_DAMAGE,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
22,Attack Speed,,A,,"Very good lab for increasing both damage and CC, gets very long towards the end",True,A,A,LAB_ATTACK_SPEED,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
23,Critical Factor,,A,,"Same as Damage although more significant per level, even more so when using the Ultimate Crit card",True,A,A,LAB_CRITICAL_FACTOR,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
24,Range,T2,D,C,"Detrimental in farms if too high. Useful for orb placement in some cases. Helps out in tournaments under some BCs, has a slider to revert the effect",True,D,C,LAB_RANGE,exact_catalog,5,4.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
25,Damage / Meter,T3,F,A,"Useless until SL+, very helpful with it while also pairing well with Range mastery",True,F,A,LAB_DAMAGE_PER_METER,exact_catalog,7,2.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
26,Super Crit Chance,T5,C,,Gets VERY long for little benefit,True,C,C,LAB_SUPER_CRIT_CHANCE,exact_catalog,4,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
27,Super Crit Multi,,C,,,True,C,C,LAB_SUPER_CRIT_MULTI,exact_catalog,4,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
28,Max Rend Armor Multiplier,T13,C,,"Decent for extending bullet orbless, helps bullet damage together with AD or HB. Great to pair together with Swamp Rend to further increase its damage potential",True,C,C,LAB_MAX_REND_ARMOR_MULTIPLIER,exact_catalog,4,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
29,Light Speed Shots,T7,S,,Keeps enemies at tower range much better,True,Completed,Completed,LAB_LIGHT_SPEED_SHOTS,exact_catalog,1,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
31,Health,T1,B,,"Good, but not game changing lab",True,B,B,LAB_HEALTH,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
32,Health Regen,,F,A,"Crucial for eHp, useless before owning WHR or Wall and for Glass Cannon builds",True,F,A,LAB_HEALTH_REGEN,exact_catalog,7,2.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
33,Defense Absolute,,F,,Dabs scales horribly past tier 1,True,Completed,Completed,LAB_DEFENSE_ABSOLUTE,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
34,Defense %,T5,A,F,"Helps reach the 98% hard cap on defense. Without relics and after fulfilling other requirements only needs 23 levels (5 levels less can be done per def% from relics, alternatively can be used to reach 98% with lower rarity substats)",True,F,,LAB_DEFENSE_PERCENT,exact_catalog,2,7.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
35,Orbs Speed,T3,B,,"Decent to help with orbs clearing enemies better, later good to get more Orb mastery or Orb Boss Hit procs",True,Completed,Completed,LAB_ORB_SPEED,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
36,Land Mine Damage,T6,D,,Can help with orbless farms,True,D,D,LAB_LAND_MINE_DAMAGE,exact_catalog,5,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
37,Land Mine Decay,,F,,Landmines usually explode before having a chance to decay,True,F,F,LAB_LAND_MINE_DECAY,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
38,Shockwave Size,T3,B,,Damage builds that use ACP can use this lab to tune their shockwave size to only hit things at tower range line now that the lab has a slider,True,B,B,LAB_SHOCKWAVE_SIZE,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
39,Orb Boss Hit,T6,D,S,Mostly useless until you have developed CC to force bosses to stay in orb line longer,True,Completed,Completed,LAB_ORB_BOSS_HIT,exact_catalog,5,1.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
40,Wall Health,T8,B,,Another health lab,True,Completed,Completed,LAB_WALL_HEALTH,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
41,Wall Rebuild,,D,A,Mostly useless unless you're using a Glass Cannon build,True,D,A,LAB_WALL_REBUILD,exact_catalog,5,2.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
42,Wall Regen,T10,A,,Best eHP tool in the game because Vamps don't turn it off; do at least 10 levels,True,A,A,LAB_WALL_REGEN,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
43,Wall Thorns,,S,C,"Helps kill enemies with wall quicker, useful percentage damage; get to at least 11 ",True,S,C,LAB_WALL_THORN,exact_catalog,1,4.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
44,Wall Invincibility,T12,D,A,Same as Wall Rebuild,True,D,A,LAB_WALL_INVINCIBILITY,exact_catalog,5,2.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
45,Wall Fortification,T14,A,,Enables Wall Regen to be the best eHp tool in the game,True,A,A,LAB_WALL_FORTIFICATION,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
46,Garlic Thorns,T2,S+,,"Solves the vampire problem better than a wooden stake to the heart, if you don't have a problem with vampires you can wait to start/finish this lab",True,Completed,Completed,LAB_GARLIC_THORNS,exact_catalog,0,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
48,Cash Bonus,T1,B,,Cash has limited usability,True,B,B,LAB_CASH_BONUS,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
49,Cash / Wave,,F,,Kills from enemies matter a lot more,True,F,F,LAB_CASH_PER_WAVE,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
50,Coins / Kill Bonus,,A,,"Excellent lab, eventually max it, but balance it with UW econ labs",True,A,A,LAB_COINS_PER_KILL_BONUS,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
51,Coins / Wave,,F,,Coins from enemies quickly become the only coins that matter,True,F,F,LAB_COINS_PER_WAVE,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
52,Interest,T2,F,,Only helps to reach the max which is very easy regardless,True,F,F,LAB_INTEREST,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
53,Max Interest,,C,,"Useful for early cash purchases, good for weak/no GT",True,C,C,LAB_MAX_INTEREST,exact_catalog,4,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
54,Package After Boss,T3,B,,"Decreases variability of packages, very good for early towers without WHR or Wall and Gcomp users",True,Completed,Completed,LAB_PACKAGE_AFTER_BOSS,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
55,Recovery Package Amount,T6,F,,"Packages become insignificant after wall, very little value per level",True,F,F,LAB_RECOVERY_PACKAGE_AMOUNT,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
56,Recovery Package Max,,F,,,True,F,F,LAB_RECOVERY_PACKAGE_MAX,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
57,Recovery Package Chance,,B,S,Good with GComp and for getting extra shards out of RPC mastery,True,Completed,Completed,LAB_RECOVERY_PACKAGE_CHANCE,exact_catalog,3,1.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
58,Enemy Attack Level Skip,T11,A,,"More ELS is always good, especially when the lab is less expensive than the WS or WS+ upgrades",True,Completed,Completed,LAB_ENEMY_ATTACK_LEVEL_SKIP,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
59,Enemy Health Level Skip,,A,,,True,Completed,Completed,LAB_ENEMY_HEALTH_LEVEL_SKIP,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
61,Missile Despawn Time,T7,F,,Useless; if a missile lives long enough for this to matter it was not needed,False,F,F,LAB_MISSILES_DESPAWN_TIME,exact_catalog,7,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
62,Missiles Explosion,,A,,Adds crucial splash damage to Missiles,False,A,A,LAB_MISSILES_EXPLOSION,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
63,Missile Radius,,B,,,False,B,B,LAB_MISSILES_RADIUS,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
64,Chrono Field Duration,,A,,Only research with intention to go for permanent CF,True,Completed,Completed,LAB_CHRONO_FIELD_DURATION,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
65,Chrono Field Damage Reduction,,C,,Very long for any benefit past a certan point,True,Completed,Completed,LAB_CHRONO_FIELD_DAMAGE_REDUCTION,exact_catalog,4,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
66,Chrono Field Reduction %,,C,,,True,C,C,LAB_CHRONO_FIELD_REDUCTION_PERCENT,exact_catalog,4,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
67,Swamp Radius,,F,A,Potential footgun regarding where the enemy gets stunned. Proceed with caution. Can be partly counteracted by using a higher range,False,F,A,LAB_SWAMP_RADIUS,exact_catalog,7,2.0,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
68,Swamp Stun,,A,,Great complementary source of crowd control,False,A,A,LAB_SWAMP_STUN,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
69,Swamp Stun Chance,,A,,,False,A,A,LAB_SWAMP_STUN_CHANCE,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
70,Swamp Stun Time,,A,,,False,A,A,LAB_SWAMP_STUN_TIME,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
71,Golden Tower Bonus,T4,B,,One of the last econ labs to do,True,B,B,LAB_GOLDEN_TOWER_BONUS,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
72,Golden Tower Duration,,S,,A lab for something that otherwise costs stones is incredible. Getting duration past BH duration with perk has little value,True,S,S,LAB_GOLDEN_TOWER_DURATION,exact_catalog,1,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
73,Chain Lightning Shock,T7,S,,Adds a global damage multiplier to CL,True,Completed,Completed,LAB_CHAIN_LIGHTNING_SHOCK,exact_catalog,1,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
74,Shock Chance,,A,,"Shock will stack faster; no need to max, attack speed should handle maxing fast",True,A,A,LAB_SHOCK_CHANCE,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
75,Shock Multiplier,,A,,Shock will stack higher; good to max,True,Completed,Completed,LAB_SHOCK_MULTIPLIER,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
76,Death Wave Health,T3,B,,"Very good for farm, dubious use in tourney",True,Completed,Completed,LAB_DEATH_WAVE_HEALTH,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
77,Death Wave Coin Bonus,,A,,More econ always good,True,Completed,Completed,LAB_DEATH_WAVE_COIN_BONUS,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
78,Inner Mine Blast Radius,T7,B,,More radius enables more stuns,False,B,B,LAB_INNER_MINE_BLAST_RADIUS,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
79,Inner Mine Rotation Speed,,A,,Helps with hitting bosses by multiple mines,False,A,A,LAB_INNER_MINE_ROTATION_SPEED,exact_catalog,2,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
80,Chrono Field Range,,B,,The more the better however be wary as it can be harmful without perma CF,True,B,B,LAB_CHRONO_FIELD_RANGE,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
81,Missile Amplifier,,B,,Adds an essential SM-only damage multiplier,False,B,B,LAB_MISSILE_AMPLIFIER,exact_catalog,3,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
82,Missile Barrage,T8,D,,"SM based Panic Button. Helpful with ""SM hits"" event mission",False,D,D,LAB_MISSILE_BARRAGE,exact_catalog,5,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
83,Missile Barrage Quantity,,D,,Panic Button gains more missiles,False,D,D,LAB_MISSILE_BARRAGE_QUANTITY,exact_catalog,5,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
84,Inner Mine Stun,T7,S,,Turns ILM into a CC machine when combined with Rotation,False,S,S,LAB_INNER_MINE_STUN,exact_catalog,1,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
85,Black Hole Damage,T5,S,,"Does a % of max enemy health every second they are inside BH, the go to protector killer for early towers",True,Completed,Completed,LAB_BLACK_HOLE_DAMAGE,exact_catalog,1,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
86,Extra Black Hole,,S+,,Self explanatory. Probably the only lab to consider rushing before ancestral modules,True,Completed,Completed,LAB_EXTRA_BLACK_HOLE,exact_catalog,0,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
87,Black Hole Coin Bonus,,S,,Best coin multiplier that isn't GT,True,Completed,Completed,LAB_BLACK_HOLE_COINS_BONUS,exact_catalog,1,,advisory_heuristic,Copy of Laboratory v2.5.7.xlsx,Tier List / Remote Tier List,Updated for version 27.0.3,non-mechanical,planner/advisor prior only,"mechanics, costs, durations, runtime formulas"
