module,slot,trigger,evidence_class,source_refs,target,scalar_param,stack_rule,cap_rule,duration_rule,special_rules,assist_notes,runtime_contract,confidence,epic,legendary,mythic,ancestral,ability_text
Orbital Augment,Armor,while_orbital_system_active,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,orbiting_electrons_and_enemy_remaining_hp,electrons_count,fixed_electron_count_from_rarity,boss_and_fleet_damage_quarter_effective,persistent_while_equipped,Each Electron deals 15% of enemy remaining health; quarter effective against Bosses and Fleets.,Assist unique effect weaker by assist efficiency.,"Spawn listed number of Electrons. On Electron hit, deal 15% of current remaining HP, multiplied by 0.25 against Bosses and Fleets.",high,2.0,4.0,6.0,8.0,Adds [x] orbiting Electrons around the tower. Each Electron deals damage equal to 15% of the enemy's remaining health (quarter effective against Bosses and Fleets).
Singularity Harness,Generator,passive_bot_range_and_on_flame_bot_hit,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,bots_and_flamebot_targets,bot_range_bonus_m,flat_range_addition,fixed_double_damage_on_flamebot_hit,persistent_while_equipped,All bots gain listed meters of range; enemies hit by Flame Bot receive double damage.,Assist unique effect weaker by assist efficiency.,Increase each bot range by listed meters and apply 2x damage-taken state to enemies hit by Flame Bot.,high,5.0,8.0,11.0,15.0,Bot range +5 / 8 / 11 / 15 m; Flame Bot hits cause double damage.
Galaxy Compressor,Generator,on_recovery_package_collected,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,ultimate_weapon_cooldowns,uw_cooldown_reduction_on_package_s,subtract_seconds_from_each_eligible_uw,Poison_Swamp_excluded,instant_per_package,Wiki explicitly excludes Poison Swamp.,Assist unique effect weaker by assist efficiency.,"When a recovery package is collected, reduce cooldown of all eligible Ultimate Weapons (UWs) except Poison Swamp by listed seconds.",high,10.0,13.0,17.0,20.0,Recovery package reduces UW cooldown (except Poison Swamp) by 10 / 13 / 17 / 20 s.
Pulsar Harvester,Generator,on_projectile_hit,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,enemy_attack_and_health_levels,level_reduction_proc_pct,repeated_proc_with_diminishing_returns_after_100,diminishing_returns_after_100_reductions,persistent_on_enemy,Each proc reduces both Health and Attack level by 1.,Assist unique effect weaker by assist efficiency.,"Each projectile hit rolls listed proc chance; on proc, reduce both enemy Health level and Attack level by 1, with diminishing returns after 100 total reductions on that enemy.",high,1.0,1.5,2.0,2.5,Projectile hit chance to reduce enemy health+attack level by 1: 1.0% / 1.5% / 2.0% / 2.5% (diminishing returns after 100 reductions).
Black Hole Digestor,Generator,on_free_upgrade_triggered_this_wave,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,coin_kill_bonus,extra_coin_kill_bonus_per_free_upgrade_pct,per_wave_accumulation,tower_range_excluded_from_free_upgrade_bonus_generation,temporary_current_wave,Bonus applies when free upgrade triggers even if no upgrades remain in that category; free upgrades cannot increase Tower Range.,Assist unique effect weaker by assist efficiency.,"For each free-upgrade trigger during current wave, add listed percent to temporary coin/kill bonus for that wave, excluding Tower Range increases as valid triggers.",high,3.0,5.0,7.0,10.0,Per free-upgrade trigger: temporary extra Coins/Kill Bonus 3% / 5% / 7% / 10%.
Project Funding,Generator,continuous_from_current_cash,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,tower_damage_multiplier,cash_digit_multiplier_pct,derived_from_number_of_digits_in_cash,minimum_multiplier_x1,continuous_recomputed,Wiki note gives effective form (1 + Log(cash) * rarityMult); multiplier never below x1.00.,Assist unique effect weaker by assist efficiency.,Compute tower damage multiplier from current cash digit count / logarithmic form; clamp final multiplier to at least x1.00.,high,12.5,25.0,50.0,100.0,Tower damage multiplied by 12.5% / 25% / 50% / 100% of number of digits in current cash.
Restorative Bonus,Generator,on_recovery_package_collected,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,attack_speed_buff,package_attack_speed_boost_duration_s,refresh_duration_not_stack,fixed_50pct_attack_speed_boost_with_60s_decay,listed_seconds_then_decay_60s,New package refreshes effect rather than stacking duration.,Assist unique effect weaker by assist efficiency.,"On package pickup, apply 50% attack speed boost for listed seconds and then decay over 60 seconds; new package refreshes timer.",high,15.0,20.0,25.0,30.0,"Packages grant a 50% attack speed boost for [x]s, decaying for 60 seconds. Effect refreshes on another Recovery Package; duration does not stack."
Om Chip,Core,while_spotlight_active_and_boss_present,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,boss_focused_spotlight_and_nearby_enemies,reflected_damage_taken_mult_x,focuses_boss_then_applies_reflected_multiplier_to_nearby_enemies,none_documented,while_boss_focused,Spotlight rotates to focus a boss.,Assist unique effect weaker by assist efficiency.,Retarget Spotlight to the boss and cause reflected light around that boss to increase nearby enemies damage taken by listed multiplier.,medium,2.0,4.0,7.0,15.0,"Spotlight focuses a Boss; boss reflects light to nearby enemies, increasing by 2 / 4 / 7 / 15."
Harmony Conductor,Core,on_poisoned_enemy_attack_attempt,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,poisoned_enemy_attack_resolution,miss_attack_chance_pct,independent_proc_each_attack,boss_chance_halved,while_enemy_poisoned,Boss chance is halved.,Assist unique effect weaker by assist efficiency.,"When a poisoned enemy attempts an attack, roll listed miss chance; halve that chance for bosses.",high,15.0,20.0,25.0,30.0,Poisoned enemies miss-attack chance: 15% / 20% / 25% / 30% (boss chance halved).
Dimension Core,Core,on_chain_lightning_resolution_and_shock_application,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,chain_lightning_and_shock_state,max_shock_stacks,base_shock_doubled_and_repeat_applications_additively_stack,max_stack_listed,per_shocked_enemy_duration_not_documented,CL has 60% chance to hit initial target; shock chance and multiplier doubled. Wiki note: base shock mult with max lab 1.66x becomes 2.32x after doubling; total stack form 1 + 1.32*n.,Assist unique effect weaker by assist efficiency.,"Allow CL to hit initial target with 60% chance, double shock chance and base shock multiplier, and when shock reapplies to same enemy additively accumulate multiplier up to listed stack count.",high,5.0,10.0,15.0,20.0,Chain lightning + shock modifications; max stack 5 / 10 / 15 / 20.
Multiverse Nexus,Core,on_uw_cooldown_schedule,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,DW_GT_BH_cooldowns,synced_uw_cooldown_offset_s,force_sync_to_shared_average_plus_minus_offset,applies_to_DW_GT_BH_only,persistent_while_equipped,"Wiki says Death Wave, Golden Tower, and Black Hole always activate at same time; cooldown is average of three plus/minus listed seconds. At Ancestral the offset is -10s.",Assist unique effect weaker by assist efficiency; hard caps on related stats still apply elsewhere.,"Compute shared cooldown from average of DW, GT, BH base cooldowns adjusted by listed offset, then schedule all three to fire simultaneously on that unified cooldown.",high,20.0,10.0,1.0,-10.0,DW/GT/BH always activate together; cooldown becomes average +/- 20s / 10s / 1s / -10s.
Magnetic Hook,Core,on_boss_enter_range_and_on_elite_enter_range,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,bosses_and_elites,ilm_fired_count,fire_fixed_count_at_boss;_25pct_elite_trigger,elites_trigger_only_25pct_of_time,instant_on_entry,Fires ILM at bosses as they enter tower range; 25% of elites also get targeted.,Assist unique effect weaker by assist efficiency.,"When boss enters tower range, fire listed number of ILM at it; when elite enters range, do same on a fixed 25% trigger.",high,1.0,2.0,3.0,4.0,ILM fired at bosses entering range: 1 / 2 / 3 / 4; and 25% of elites get ILM fired similarly.
Primordial Collapse,Core,while_black_hole_active,wiki_structural_plus_repo_transcription,Epic Module Unique Effect wiki; Modules wiki; repo modules_library.py,black_hole_system_and_enemy_damage_inside_bh,in_bh_enemy_damage_reduction_pct,add_one_extra_black_hole_plus_apply_damage_reduction,none_documented,while_enemy_within_black_hole,Spawns one additional Black Hole.,Assist unique effect weaker by assist efficiency.,"Spawn one extra Black Hole and, while enemies are inside any Black Hole, reduce their outgoing damage by listed percent.",high,50.0,55.0,65.0,80.0,+1 Black Hole; enemy damage within BH reduced by 50% / 55% / 65% / 80%.
