lab_canonical_id,lab_primary_name,target_entity,target_attribute,operation_type,value_semantics,application_stage,target_domain,stacking_note,active_ladder_surface,verification_status,remaining_caveat
LAB_HEALTH_REGEN,Health Regen,tower,health_regen_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_LAB_SPEED,Labs Speed,laboratory,lab_speed_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,meta_progression,stacks multiplicatively with relic-based lab speed bonus per live wiki description,kb/labs/tables/wiki-lab-labs-speed.csv,externally_verified_live_wiki_2026-03-14,none
LAB_RANGE,Range,tower,range_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/wiki-lab-range.csv,externally_verified_live_wiki_2026-03-14,none
LAB_RECOVERY_PACKAGE_CHANCE,Recovery Package Chance,tower,recovery_package_chance_percent_points,additive_percent_points,percent_points,persistent_lab_state,tower_or_skip_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_WALL_FORTIFICATION,Wall Fortification,wall,fortification_pct,additive_percent_points,percent_points,persistent_lab_state,wall_regen_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/wall-lab-wall-fortification.csv,externally_verified_live_wiki_2026-03-14_with_unlock_conflict,Dedicated page and Milestones page disagree on unlock wave (60 vs 40).
LAB_WALL_HEALTH,Wall Health,wall,health_multiplier,additive_percent_points,percent_points,persistent_lab_state,tower_or_wall_stat,applies as persistent wall-health percent bonus contribution; combine with wall health ratio and other contributor families via destination stat resolver,kb/labs/tables/wall-lab-wall-health.csv,externally_verified_live_wiki_2026-03-15,none
LAB_WALL_REGEN,Wall Regen,wall,regen_percent_points,additive_percent_points,percent_points,persistent_lab_state,wall_regen_bonus,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_WAVES_REQUIRED,Waves Required,waves_required,required_waves_delta,additive_wave_delta,waves,persistent_lab_state,tournament_or_milestone_requirement,applies as persistent lab contribution; combine with other contributor families via destination stat resolver,kb/labs/tables/lab-values.csv,active_bundled_source_verified,none
LAB_SUPER_CRIT_CHANCE,Super Crit Chance,tower,super_crit_chance_percent_points,additive_percent_points,percent_points,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution to super crit chance workshop progression,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Super_Crit_Chance,externally_verified_live_wiki_2026-03-16,none
LAB_SUPER_CRIT_MULT,Super Crit Multi,tower,super_crit_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,tower_or_wall_stat,applies as persistent lab contribution to super crit multiplier workshop progression,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Super_Crit_Mult,externally_verified_live_wiki_2026-03-16,none
LAB_BLACK_HOLE_COIN_BONUS,Black Hole Coin Bonus,ultimate_weapon_black_hole,coin_bonus_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,economy,applies as persistent lab contribution to Black Hole coin bonus multiplier,kb/ultimate-weapons/tables/wiki-verified-black-hole-coin-bonus-levels-full.csv,externally_verified_live_wiki_2026-03-14,none
LAB_SPOTLIGHT_COIN_BONUS,Spotlight Coin Bonus,ultimate_weapon_spotlight,coin_bonus_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,economy,applies as persistent lab contribution to Spotlight coin bonus multiplier,kb/ultimate-weapons/tables/wiki-verified-spotlight-coin-bonus.csv,externally_verified_live_wiki_2026-03-14,coverage-weighted realized value remains a downstream modeling problem
LAB_DEATH_WAVE_COIN_BONUS,Death Wave Coin Bonus,ultimate_weapon_death_wave,coin_bonus_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,economy,applies as persistent lab contribution to Death Wave coin bonus multiplier,kb/ultimate-weapons/derived/materialized/wiki-death-wave-coin-bonus-levels-full.csv,externally_verified_live_wiki_2026-03-14,kill-source logic remains downstream of this direct multiplier row
LAB_BLACK_HOLE_DAMAGE,Black Hole Damage,ultimate_weapon_black_hole,damage_pct_enemy_hp_per_second,set_percent,percent,persistent_lab_state,mechanic_param,sets Black Hole percent enemy health damage per second from lab ladder,kb/ultimate-weapons/tables/wiki-verified-black-hole-damage.csv,bundled_row_table_verified,none
LAB_CHAIN_THUNDER,Chain Thunder,ultimate_weapon_chain_lightning,max_enemy_damage_reduction_pct,set_percent,percent,persistent_lab_state,mechanic_param,sets Chain Thunder maximum enemy damage reduction percent from lab ladder,kb/ultimate-weapons/tables/wiki-verified-chain-thunder.csv,bundled_row_table_verified,none
LAB_CHRONO_FIELD_DAMAGE_REDUCTION,Chrono Field Damage Reduction,ultimate_weapon_chrono_field,damage_reduction_pct,set_percent,percent,persistent_lab_state,mechanic_param,sets Chrono Field damage reduction percent unlock value,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_chrono_field_damage_reduction_unlock,bundled_formula_verified,none
LAB_CHRONO_FIELD_RANGE,Chrono Field Range,ultimate_weapon_chrono_field,range_m,set_range_m,range_m,persistent_lab_state,mechanic_param,sets Chrono Field range bonus from lab ladder,kb/ultimate-weapons/tables/wiki-verified-chrono-field-range.csv,bundled_row_table_verified,none
LAB_DEATH_WAVE_ARMOR_STRIPPING,Death Wave Armor Stripping,ultimate_weapon_death_wave,armor_strip_count,set_count,count,persistent_lab_state,mechanic_param,sets Death Wave armor strip count from lab ladder,kb/ultimate-weapons/tables/wiki-verified-death-wave-armor-stripping.csv,bundled_row_table_verified,none
LAB_DEATH_WAVE_CELLS_BONUS,Death Wave Cells Bonus,ultimate_weapon_death_wave,cells_bonus_multiplier,set_multiplier,multiplier,persistent_lab_state,mechanic_param,sets Death Wave cell bonus multiplier from formula-backed lab ladder,kb/formulas/tables/canonical-formula-registry.csv#wiki_death_wave_cell_bonus_levels_full_value_multiplier,bundled_formula_verified,none
LAB_DEATH_WAVE_DAMAGE_AMPLIFIER,Death Wave Damage Amplifier,ultimate_weapon_death_wave,damage_amplifier_multiplier_per_effect_wave,set_multiplier,multiplier,persistent_lab_state,mechanic_param,sets Death Wave damage amplifier multiplier per effect wave from lab ladder,kb/ultimate-weapons/tables/wiki-verified-death-wave-damage-amplifier.csv,bundled_row_table_verified,none
LAB_DISSONANT_ECHO_ATTACK,Dissonant Echo - Attack,dissonance_attack,echo_level,set_level,level,persistent_lab_state,dissonance,stores Attack Dissonant Echo lab level; QE derives echo multiplier with EP v5.06.02 formula,kb/labs/tables/lab-track-summary.csv,v28_ep_formula_authority_with_public_10pct_conflict,public max wording says 10 percent while EP formula gives 10.5 percent at level 20
LAB_DISSONANT_ECHO_DEFENSE,Dissonant Echo - Defense,dissonance_defense,echo_level,set_level,level,persistent_lab_state,dissonance,stores Defense Dissonant Echo lab level; QE derives echo multiplier with EP v5.06.02 formula,kb/labs/tables/lab-track-summary.csv,v28_ep_formula_authority_with_public_10pct_conflict,public max wording says 10 percent while EP formula gives 10.5 percent at level 20
LAB_DISSONANT_ECHO_UTILITY,Dissonant Echo - Utility,dissonance_utility,echo_level,set_level,level,persistent_lab_state,dissonance,stores Utility Dissonant Echo lab level; QE derives echo multiplier with EP v5.06.02 formula,kb/labs/tables/lab-track-summary.csv,v28_ep_formula_authority_with_public_10pct_conflict,public max wording says 10 percent while EP formula gives 10.5 percent at level 20
LAB_DISSONANT_ECHO_ULTIMATE_WEAPONS,Dissonant Echo - Ultimate Weapons,dissonance_ultimate_weapons,echo_level,set_level,level,persistent_lab_state,dissonance,stores Ultimate Weapons Dissonant Echo lab level; QE derives echo multiplier with EP v5.06.02 formula,kb/labs/tables/lab-track-summary.csv,v28_ep_formula_authority_with_public_10pct_conflict,public max wording says 10 percent while EP formula gives 10.5 percent at level 20
LAB_GOLDEN_TOWER_DURATION,Golden Tower Duration,ultimate_weapon_golden_tower,duration_seconds,add_seconds,seconds,persistent_lab_state,mechanic_param,adds Golden Tower duration seconds from lab ladder to base duration,kb/ultimate-weapons/tables/wiki-verified-golden-tower-duration-levels-full.csv,bundled_row_table_verified,none
LAB_MISSILE_AMPLIFIER,Missile Amplifier,ultimate_weapon_smart_missiles,chain_hit_damage_multiplier,set_multiplier,multiplier,persistent_lab_state,mechanic_param,sets Smart Missiles chain-hit damage multiplier from lab ladder,kb/ultimate-weapons/tables/wiki-verified-missile-amplifier.csv,bundled_row_table_verified,none
LAB_MISSILE_DESPAWN_TIME,Missile Despawn Time,ultimate_weapon_smart_missiles,despawn_time_seconds,set_seconds,seconds,persistent_lab_state,mechanic_param,sets Smart Missiles despawn time in seconds from lab ladder,kb/ultimate-weapons/tables/wiki-verified-missile-despawn-time.csv,bundled_row_table_verified,none
LAB_SHOCK_CHANCE,Shock Chance,shock,chance_pct,set_percent,percent,persistent_lab_state,mechanic_param,sets shock chance percent from lab ladder,kb/ultimate-weapons/tables/wiki-verified-shock-chance.csv,bundled_row_table_verified,none
LAB_SHOCK_MULTIPLIER,Shock Multiplier,shock,damage_multiplier,set_multiplier,multiplier,persistent_lab_state,mechanic_param,sets shock damage multiplier from lab ladder,kb/ultimate-weapons/tables/wiki-verified-shock-multiplier.csv,bundled_row_table_verified,none
LAB_SPOTLIGHT_MISSILES,Spotlight Missiles,ultimate_weapon_spotlight,missiles_frequency_seconds,set_seconds,seconds,persistent_lab_state,mechanic_param,sets Spotlight missiles frequency in seconds from lab ladder,kb/ultimate-weapons/tables/wiki-verified-spotlight-missiles-lab-full.csv,bundled_row_table_verified,none
LAB_CHRONO_FIELD_REDUCTION_PCT,Chrono Field Reduction %,ultimate_weapon_chrono_field,damage_reduction_pct,add_percent_points,percent,persistent_lab_state,mechanic_param,adds Chrono Field damage reduction bonus percent from lab ladder on top of unlocked base reduction,kb/formulas/tables/canonical-formula-registry.csv#wiki_verified_chrono_field_reduction_pct_lab,bundled_formula_verified,wiki surface lists absolute resulting reduction values; package stores bonus above base 10 percent to preserve separate-source model
LAB_GOLDEN_TOWER_BONUS,Golden Tower Bonus,ultimate_weapon_golden_tower,bonus_multiplier,add_multiplier,multiplier,persistent_lab_state,mechanic_param,adds Golden Tower bonus from lab ladder to base GT bonus before runtime perk multiplier,https://the-tower-idle-tower-defense.fandom.com/wiki/Lab/Golden_Tower_Bonus,bundled_row_table_verified,runtime perk multiplier remains a separate runtime_mechanic_param surface
LAB_EXTRA_BLACK_HOLE,Extra Black Hole,ultimate_weapon_black_hole,extra_black_hole,enable,bool,persistent_lab_state,capability,enables a second Black Hole when lab level is above zero,kb/ledgers/tables/towersim-static-ledger.csv#Extra_Black_Hole,bundled_static_ledger_verified,"modeled as capability enable, not count"
LAB_BLACK_HOLE_DISABLE_RANGED_ENEMIES,Black Hole Disable Ranged Enemies,ultimate_weapon_black_hole,disable_ranged,enable,bool,persistent_lab_state,capability,enables ranged-enemy fire suppression inside Black Hole when lab level is above zero,kb/ledgers/tables/towersim-static-ledger.csv#Black_Hole_Disable_Ranged_Enemies,bundled_static_ledger_verified,behavioral suppression logic remains downstream
LAB_CHAIN_LIGHTNING_SHOCK,Chain Lightning Shock,ultimate_weapon_chain_lightning,shock,enable,bool,persistent_lab_state,capability,enables Chain Lightning shock behavior when lab level is above zero,kb/ledgers/tables/towersim-static-ledger.csv#Chain_Lightning_Shock,bundled_static_ledger_verified,base chance and multiplier remain on dedicated Shock Chance and Shock Multiplier ladders
LAB_POISON_SWAMP_STUN,Swamp Stun,ultimate_weapon_poison_swamp,stun,enable,bool,persistent_lab_state,capability,enables Poison Swamp stun behavior when lab level is above zero,kb/ledgers/tables/towersim-static-ledger.csv#Poison_Swamp_Stun,bundled_static_ledger_verified,base chance and duration remain separate mechanics surfaces
LAB_MISSILES_EXPLOSION,Missiles Explosion,ultimate_weapon_smart_missiles,explosion,enable,bool,persistent_lab_state,capability,enables Smart Missiles explosion behavior when lab level is above zero,kb/ledgers/tables/towersim-static-ledger.csv#Missiles_Explosion,bundled_static_ledger_verified,radius remains a separate lab/mechanic surface
LAB_BATTLE_CONDITION_REDUCTION,Battle Condition Reduction,battle_conditions,reduction_generic_pct,set_percent,percent,persistent_lab_state,environment_param,sets the generic battle-condition effect reduction percent from the dedicated lab ladder,kb/tournaments/tables/battle-condition-reduction-lab.csv,bundled_row_table_verified,does not apply to the Ultimate Weapon Durations battle condition
LAB_CASH_PER_WAVE,Cash / Wave,tower,cash_per_wave_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,economy,applies as persistent lab multiplier to workshop cash-per-wave progression,kb/labs/tables/lab-values.csv,externally_verified_live_wiki_2026-03-18,none
LAB_INTEREST,Interest,tower,interest_per_wave_multiplier,multiplicative_multiplier,raw_multiplier,persistent_lab_state,economy,applies as persistent lab multiplier to workshop interest-per-wave progression,kb/labs/tables/lab-values.csv,externally_verified_live_wiki_2026-03-18,none
LAB_PACKAGE_AFTER_BOSS,Package After Boss,recovery_package,after_boss,enable,bool,persistent_lab_state,economy,one-level unlock enabling package spawn after boss waves,kb/labs/tables/lab-values.csv,externally_verified_live_wiki_2026-03-18,runtime spawning remains outside current calculator
LAB_RECOVERY_PACKAGE_AMOUNT,Recovery Package Amount,tower,recovery_amount_percent_points,additive_percent_points,pct_points,persistent_lab_state,economy,adds percentage points to workshop recovery amount,kb/labs/tables/lab-values.csv,strong_internalized_snapshot_with_wiki_unlock_context,none
LAB_RECOVERY_PACKAGE_MAX,Recovery Package Max,tower,max_recovery_multiplier_bonus,additive_multiplier_bonus,raw_multiplier_bonus,persistent_lab_state,economy,adds direct multiplier bonus to workshop max recovery multiplier,kb/labs/tables/lab-values.csv,externally_verified_live_wiki_2026-03-18,none
LAB_MISSILE_RADIUS,Missile Radius,ultimate_weapon_smart_missiles,explosion_radius_m,additive_range_m,range_m,persistent_lab_state,mechanic_param,adds radius above the Missile Explosion base unlock radius; combine with unlock-base contributor via destination stat resolver,kb/ultimate-weapons/tables/wiki-verified-missiles-radius.csv,generated_r47_patch1_from_verified_table,base 0.30 unlock radius remains separately emitted from Missiles Explosion capability when enabled
LAB_MISSILE_BARRAGE_QUANTITY,Missile Barrage Quantity,ultimate_weapon_smart_missiles,barrage_quantity,set_count,count,persistent_lab_state,mechanic_param,sets total missile barrage quantity from lab ladder; base unlock quantity handled separately,kb/ultimate-weapons/tables/wiki-verified-missile-barrage-quantity.csv,generated_r47_patch1_from_verified_table,base 20 missiles from Missile Barrage unlock remain separately emitted when enabled
LAB_RECHARGE_MISSILE_BARRAGE,Recharge Missile Barrage,ultimate_weapon_smart_missiles,recharge_barrage_waves,set_waves,waves,persistent_lab_state,mechanic_param,sets recharge waves after Missile Barrage unlock from dedicated lab ladder,kb/ultimate-weapons/tables/wiki-verified-recharge-missile-barrage.csv,generated_r47_patch1_from_verified_table,runtime once-per-run recharge behavior remains downstream
LAB_SWAMP_RADIUS,Swamp Radius,ultimate_weapon_poison_swamp,radius_m,additive_range_m,range_m,persistent_lab_state,mechanic_param,adds Poison Swamp radius from lab ladder via destination stat resolver,kb/ultimate-weapons/tables/wiki-verified-swamp-radius.csv,generated_r47_patch1_from_verified_table,none
LAB_SWAMP_STUN_CHANCE,Swamp Stun Chance,ultimate_weapon_poison_swamp,stun_chance_pct,add_percent_points,percent,persistent_lab_state,mechanic_param,adds chance above the Poison Swamp Stun base 5 percent,kb/ultimate-weapons/tables/wiki-verified-swamp-stun-chance.csv,generated_r47_patch1_from_verified_table,base 5 percent is emitted separately from the unlock lab when enabled
LAB_SWAMP_STUN_TIME,Swamp Stun Time,ultimate_weapon_poison_swamp,stun_duration_seconds,add_duration_seconds,seconds,persistent_lab_state,mechanic_param,adds duration above the Poison Swamp Stun base 1 second,kb/ultimate-weapons/tables/wiki-verified-swamp-stun-time.csv,generated_r47_patch1_from_verified_table,base 1 second is emitted separately from the unlock lab when enabled
LAB_SWAMP_REND_ADDITIONAL_ENEMIES,Swamp Rend - Additional Enemies,ultimate_weapon_poison_swamp,rend_additional_enemies,set_count,count,persistent_lab_state,mechanic_param,sets additional enabled enemy classes count from lab ladder levels 1-6,kb/ultimate-weapons/tables/wiki-verified-swamp-rend-additional-enemies.csv,generated_r47_patch1_from_verified_table,enemy-class applicability remains downstream of this count surface
LAB_INNER_MINE_BLAST_RADIUS,Inner Mine Blast Radius,ultimate_weapon_inner_land_mines,blast_radius_m,additive_range_m,range_m,persistent_lab_state,mechanic_param,adds Inner Land Mine blast radius from lab ladder,kb/ultimate-weapons/tables/wiki-verified-inner-mine-blast-radius.csv,generated_r47_patch1_from_verified_table,none
LAB_INNER_MINE_ROTATION_SPEED,Inner Mine Rotation Speed,ultimate_weapon_inner_land_mines,rotation_speed,add_scalar,rotation_speed,persistent_lab_state,mechanic_param,adds Inner Land Mine rotation speed from lab ladder,kb/ultimate-weapons/tables/wiki-verified-inner-mine-rotation-speed.csv,generated_r47_patch1_from_verified_table,unit label preserved as rotation_speed pending wider semantic audit
LAB_INNER_LAND_MINE_CHRONO_JUMP,Inner Land Mine - Chrono Jump,ultimate_weapon_inner_land_mines,chrono_jump_seconds,set_duration_seconds,seconds,persistent_lab_state,mechanic_param,sets current Chrono Jump seconds from dedicated lab ladder; naming remains under review,kb/ultimate-weapons/tables/wiki-verified-inner-land-mine-chrono-jump.csv,generated_r47_patch1_from_verified_table,canonical naming still needs KB review because wiki text describes charge gain semantics
