section,id,name,type,implementation_status,calculator_evidence,classification_note
eDamage_mechanics,ep_lambda_epg_assist_sub_cap,EPG_ASSIST_SUB_CAP,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_ep_cl_dps,EP_CL_DPS,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_ep_dw_dps,EP_DW_DPS,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_ep_slm_dps,EP_SLM_DPS,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_ep_sl_final_bonus,EP_SL_FINAL_BONUS,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_ep_sm_dps,EP_SM_DPS,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_ep_uw_sl_coverage,EP_UW_SL_COVERAGE,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_ep_uw_total_damage,EP_UW_TOTAL_DAMAGE,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_stat_uw_cl_final_ch,STAT_UW_CL_FINAL_CH,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.chain_lightning.chance_pct | runtime_mechanic_param::uw.chain_lightning.chance_pct,Equivalent UW stat surfaces exist; EP formula appears to be workbook final-stat helper.
eDamage_mechanics,ep_lambda_stat_uw_cl_final_dmg,STAT_UW_CL_FINAL_DMG,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.chain_lightning.damage_multiplier | runtime_mechanic_param::uw.chain_lightning.damage_multiplier,Equivalent UW stat surfaces exist; EP formula appears to be workbook final-stat helper.
eDamage_mechanics,ep_lambda_stat_uw_cl_final_qty,STAT_UW_CL_FINAL_QTY,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.chain_lightning.quantity | runtime_mechanic_param::uw.chain_lightning.quantity,Equivalent UW stat surfaces exist; EP formula appears to be workbook final-stat helper.
eDamage_mechanics,ep_lambda_stat_uw_dw_final_cd,STAT_UW_DW_FINAL_CD,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.death_wave.cooldown_seconds,Equivalent UW stat surface exists in emitted calculator output.
eDamage_mechanics,ep_lambda_stat_uw_dw_final_dmg,STAT_UW_DW_FINAL_DMG,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.death_wave.damage_multiplier,Equivalent UW stat surface exists in emitted calculator output.
eDamage_mechanics,ep_lambda_stat_uw_dw_final_qty,STAT_UW_DW_FINAL_QTY,excel_named_formula,calculator_equivalent_present_uncompared,runtime_mechanic_param::uw.death_wave.quantity,Equivalent UW stat surface exists in emitted calculator output.
eDamage_mechanics,ep_lambda_stat_uw_sl_final_angle,STAT_UW_SL_FINAL_ANGLE,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.spotlight.angle_degrees | runtime_mechanic_param::uw.spotlight.angle_degrees,Equivalent UW stat surfaces exist in emitted calculator output.
eDamage_mechanics,ep_lambda_stat_uw_sl_final_dmg,STAT_UW_SL_FINAL_DMG,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.spotlight.bonus_multiplier | runtime_mechanic_param::uw.spotlight.bonus_multiplier,Equivalent UW stat surfaces exist in emitted calculator output.
eDamage_mechanics,ep_lambda_stat_uw_sl_final_lr,STAT_UW_SL_FINAL_LR,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw_plus.spotlight.light_range,Nearest calculator equivalent exists as spotlight light-range mechanic param.
eDamage_mechanics,ep_lambda_stat_uw_sm_final_cd,STAT_UW_SM_FINAL_CD,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.smart_missiles.cooldown_seconds,Equivalent UW stat surface exists in emitted calculator output.
eDamage_mechanics,ep_lambda_stat_uw_sm_final_cf,STAT_UW_SM_FINAL_CF,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw_plus.smart_missiles.cover_fire,Nearest calculator equivalent exists as UW+ smart-missiles cover-fire.
eDamage_mechanics,ep_lambda_stat_uw_sm_final_dmg,STAT_UW_SM_FINAL_DMG,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.smart_missiles.damage_multiplier,Equivalent UW stat surface exists in emitted calculator output.
eDamage_mechanics,ep_lambda_stat_uw_sm_final_qty,STAT_UW_SM_FINAL_QTY,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.smart_missiles.quantity,Equivalent UW stat surface exists in emitted calculator output.
eDamage_mechanics,ep_lambda_epd_epd_aoe_card_boost,EPD_AOE_CARD_BOOST,excel_named_formula,retained_helper_formula,card-derived AoE boost helper only,Card-derived helper multiplier; useful for helper/strategy layer rather than core canonical output.
eDamage_mechanics,ep_lambda_epd_epd_shockwave_damage,EPD_SHOCKWAVE_DAMAGE,excel_named_formula,verification_only_helper_or_aggregate,helper derived from ACP + shockwave size/frequency surfaces; no standalone canonical output currently emitted,"EP helper formula estimating Anti-Cube Portal shockwave vulnerability cadence effect from ACP tier plus shockwave size/frequency inputs. Useful for optimisation/strategy/helper outputs, but not a required standalone canonical stat."
eDamage_mechanics,ep_lambda_epd_epd_spb,EPD_SPB,excel_named_formula,verification_only_helper_or_aggregate,perk helper: standard perk bonus scaling used across perk composition; not a standalone emitted surface,"EP helper formula for standard perk bonus application to perk-affected damage-style multipliers. Useful and should be retained as helper knowledge, but not required as a standalone canonical output."
eDamage_mechanics,ep_lambda_epd_epd_supertower_bonus,EPD_SUPERTOWER_BONUS,excel_named_formula,retained_helper_formula,super tower card/lab effect helper,Super Tower helper formula; retain for helper plane/optimizer use rather than forcing a canonical stat surface.
eDamage_mechanics,ep_lambda_epd_epd_supertower_cooldown,EPD_SUPERTOWER_COOLDOWN,excel_named_formula,retained_helper_formula,super tower cooldown helper,Super Tower cooldown helper; retain for helper plane/optimizer use rather than forcing a canonical stat surface.
eDamage_mechanics,ep_lambda_epd_epd_supertower_effective_bonus,EPD_SUPERTOWER_EFFECTIVE_BONUS,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eDamage_mechanics,ep_lambda_epd_epd_supertower_effective_uwbonus,EPD_SUPERTOWER_EFFECTIVE_UWBONUS,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eHP_mechanics,ep_lambda_ehp_eph_def_pct,EPH_DEF_PCT,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::tower_defense_pct,Clear survivability stat equivalent exists in emitted calculator output.
eHP_mechanics,ep_lambda_ehp_eph_dabs,EPH_DABS,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::tower_defense_absolute,Clear survivability stat equivalent exists in emitted calculator output.
eHP_mechanics,ep_lambda_ehp_eph_armor,EPH_ARMOR,excel_named_formula,retained_helper_formula,armor module factor already used in survivability compare work,"Armor-assist/helper factor, not a standalone canonical stat surface; retain for compare/helper modeling."
eHP_mechanics,ep_lambda_ehp_eph_wall_health,EPH_WALL_HEALTH,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::wall_hp,Clear survivability stat equivalent exists in emitted calculator output.
eHP_mechanics,ep_lambda_ehp_eph_wall_regen,EPH_WALL_REGEN,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::wall_regen,Clear survivability stat equivalent exists in emitted calculator output.
eEcon_mechanics,ep_lambda_epc_epc_bhcb,EPC_BHCB,excel_named_formula,calculator_destination_defined_not_emitted,statbook destination definition: uw.black_hole.coin_bonus_multiplier,"Calculator has a destination definition for Black Hole coin bonus multiplier, but no current emitted publishable row on this baseline."
eEcon_mechanics,ep_lambda_epc_epc_bhcd,EPC_BHCD,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.black_hole.cooldown_seconds | runtime_mechanic_param::uw.black_hole.cooldown_seconds,Clear econ-relevant BH cooldown surfaces exist in emitted calculator output.
eEcon_mechanics,ep_lambda_epc_epc_bhd,EPC_BHD,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.black_hole.duration_seconds | runtime_mechanic_param::uw.black_hole.duration_seconds,Clear econ-relevant BH duration surfaces exist in emitted calculator output.
eEcon_mechanics,ep_lambda_epc_epc_card_coins,EPC_CARD_COINS,excel_named_formula,retained_helper_formula,card coin multiplier helper,Economy helper for card coin multiplier; useful for optimizer/strategy/helper outputs even without a standalone canonical row.
eEcon_mechanics,ep_lambda_epc_epc_card_eom,EPC_CARD_EOM,excel_named_formula,retained_helper_formula,enemy-balance/end-of-match card helper,"Economy helper formula; useful for helper/strategy layer, not required as current canonical output."
eEcon_mechanics,ep_lambda_epc_epc_card_ws,EPC_CARD_WS,excel_named_formula,retained_helper_formula,wave-skip card helper around runtime skip behavior,Wave-skip helper/aggregate formula; keep as helper even though only wave skip chance is currently surfaced.
eEcon_mechanics,ep_lambda_epc_epc_dwcb,EPC_DWCB,excel_named_formula,calculator_destination_defined_not_emitted,statbook destination definition: uw.death_wave.coin_bonus_multiplier,"Calculator has a destination definition for Death Wave coin bonus multiplier, but no current emitted publishable row on this baseline."
eEcon_mechanics,ep_lambda_epc_epc_fup,EPC_FUP,excel_named_formula,calculator_equivalent_present_uncompared,canonical_stat::free_upgrade_multiplier,Nearest calculator equivalent exists as free-upgrade multiplier surface.
eEcon_mechanics,ep_lambda_epc_epc_gcomp,EPC_GCOMP,excel_named_formula,retained_helper_formula,galaxy compressor package-time helper,"Generator-helper formula for package timing/compression effects; useful for optimizer/helper layer, not current canonical output."
eEcon_mechanics,ep_lambda_epc_epc_gtb,EPC_GTB,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.golden_tower.bonus_multiplier,Clear econ-relevant GT bonus surface exists in emitted calculator output.
eEcon_mechanics,ep_lambda_epc_epc_gtcd,EPC_GTCD,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.golden_tower.cooldown_seconds,Clear econ-relevant GT cooldown surface exists in emitted calculator output.
eEcon_mechanics,ep_lambda_epc_epc_gtd,EPC_GTD,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.golden_tower.duration_seconds,Clear econ-relevant GT duration surface exists in emitted calculator output.
eEcon_mechanics,ep_lambda_epc_epc_gtgc,EPC_GTGC,excel_named_formula,retained_helper_formula,related surface present: mechanic_param::uw_plus.golden_tower.golden_combo,Golden Combo economy helper built from GT duration and kill rate; retain as helper rather than a canonical stat.
eEcon_mechanics,ep_lambda_epc_epc_mvn,EPC_MVN,excel_named_formula,retained_helper_formula,related cooldown surfaces present; MVN folding not separately surfaced,Multiverse Nexus helper for cooldown folding/sync calculations; useful for optimizer/helper layer.
eEcon_mechanics,ep_lambda_epc_epc_sla,EPC_SLA,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.spotlight.angle_degrees | runtime_mechanic_param::uw.spotlight.angle_degrees,Clear econ-relevant spotlight angle surfaces exist in emitted calculator output.
eEcon_mechanics,ep_lambda_epc_epc_slcb,EPC_SLCB,excel_named_formula,calculator_destination_defined_not_emitted,statbook destination definition: uw.spotlight.coin_bonus_multiplier,"Calculator has a destination definition for Spotlight coin bonus multiplier, but no current emitted publishable row on this baseline."
eEcon_mechanics,ep_lambda_epc_epc_slq,EPC_SLQ,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.spotlight.count,Clear econ-relevant spotlight count surface exists in emitted calculator output.
eEcon_mechanics,ep_lambda_epc_epc_sync,EPC_SYNC,excel_named_formula,verification_only_helper_or_aggregate,,Workbook helper or aggregate formula; useful for EP comparison/enrichment but not a required standalone calculator surface.
eEcon_mechanics,ep_lambda_epu_epu_dwcd,EPU_DWCD,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.death_wave.cooldown_seconds,Equivalent UW cooldown surface exists in emitted calculator output.
eEcon_mechanics,ep_lambda_epu_epu_dwq,EPU_DWQ,excel_named_formula,calculator_equivalent_present_uncompared,runtime_mechanic_param::uw.death_wave.quantity,Equivalent UW quantity surface exists in emitted calculator output.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_cl_final_ch,STAT_UW_CL_FINAL_CH,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.chain_lightning.chance_pct | runtime_mechanic_param::uw.chain_lightning.chance_pct,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_cl_final_dmg,STAT_UW_CL_FINAL_DMG,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.chain_lightning.damage_multiplier | runtime_mechanic_param::uw.chain_lightning.damage_multiplier,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_cl_final_qty,STAT_UW_CL_FINAL_QTY,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.chain_lightning.quantity | runtime_mechanic_param::uw.chain_lightning.quantity,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_dw_final_cd,STAT_UW_DW_FINAL_CD,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.death_wave.cooldown_seconds,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_dw_final_cd_mvn,STAT_UW_DW_FINAL_CD_MVN,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.death_wave.cooldown_seconds,"Nearest calculator equivalent exists, but MVN-specific folding is not separately surfaced."
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_dw_final_dmg,STAT_UW_DW_FINAL_DMG,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.death_wave.damage_multiplier,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_dw_final_qty,STAT_UW_DW_FINAL_QTY,excel_named_formula,cross_section_duplicate_reference,runtime_mechanic_param::uw.death_wave.quantity,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_ilm_final_dmg,STAT_UW_ILM_FINAL_DMG,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.inner_land_mines.damage,Equivalent UW stat surface exists in emitted calculator output.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_ilm_final_qty,STAT_UW_ILM_FINAL_QTY,excel_named_formula,calculator_equivalent_present_uncompared,mechanic_param::uw.inner_land_mines.quantity,Equivalent UW stat surface exists in emitted calculator output.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sl_final_angle,STAT_UW_SL_FINAL_ANGLE,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.spotlight.angle_degrees | runtime_mechanic_param::uw.spotlight.angle_degrees,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sl_final_dmg,STAT_UW_SL_FINAL_DMG,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.spotlight.bonus_multiplier | runtime_mechanic_param::uw.spotlight.bonus_multiplier,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sl_final_lr,STAT_UW_SL_FINAL_LR,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw_plus.spotlight.light_range,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sm_final_cd,STAT_UW_SM_FINAL_CD,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.smart_missiles.cooldown_seconds,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sm_final_cf,STAT_UW_SM_FINAL_CF,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw_plus.smart_missiles.cover_fire,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sm_final_dmg,STAT_UW_SM_FINAL_DMG,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.smart_missiles.damage_multiplier,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sm_final_qty,STAT_UW_SM_FINAL_QTY,excel_named_formula,cross_section_duplicate_reference,mechanic_param::uw.smart_missiles.quantity,Same EP final-stat helper also appears in eDamage registry; do not double-count implementation coverage.
