bug_id,surface_name,expected_target,acquisition_bucket,required_artifacts,notes
LAB_ROUTE_013,Death Wave Damage Amplifier,mechanic_param::uw.death_wave.damage_amplifier_multiplier,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_015,Extra Black Hole,mechanic_param::uw.black_hole.extra_black_hole_count,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_016,Golden Tower Bonus,mechanic_param::uw.golden_tower.bonus_multiplier,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_017,Golden Tower Duration,mechanic_param::uw.golden_tower.duration_seconds,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_018,Missile Amplifier,mechanic_param::uw.smart_missiles.amplifier_multiplier,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_019,Missile Despawn Time,mechanic_param::uw.smart_missiles.despawn_time_seconds,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_020,Missiles Explosion,mechanic_param::uw.smart_missiles.explosion_radius_m,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_021,Shock Chance,mechanic_param::shock.chance_pct,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_022,Shock Multiplier,mechanic_param::shock.multiplier,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_024,Spotlight Missiles,mechanic_param::uw.spotlight.missiles_enabled,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_025,Swamp Radius,mechanic_param::uw.poison_swamp.radius_multiplier,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_026,Swamp Stun,mechanic_param::uw.poison_swamp.stun_enabled,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_027,Swamp Stun Chance,mechanic_param::uw.poison_swamp.stun_chance_pct,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_028,Swamp Stun Time,mechanic_param::uw.poison_swamp.stun_duration_seconds,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder or accepted package formula,Target plane is already clear from the expected target; numeric surface is the blocker.
LAB_ROUTE_035,Cash / Wave,canonical_stat::cash_per_wave,needs_lab_ladder_and_registry,lab-application-registry row; lab-track-summary row; lab-values ladder,Canonical stat target already exists elsewhere; only the lab track is missing.
