id,title,target_type,target_id,calculator_actual,classification,fix_class,ladder_status,target_already_exists_in_package,existing_raw_row,harness_note
LAB_ROUTE_006,Chain Thunder,mechanic_param,uw.chain_lightning.chain_thunder_pct,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_007,Chrono Field Damage Reduction,capability,capability.uw.chrono_field.damage_reduction.enabled,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Capability enable seam distinct from numeric reduction percent.
LAB_ROUTE_008,Chrono Field Range,mechanic_param,uw.chrono_field.range_m,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_009,Chrono Field Reduction %,mechanic_param,uw.chrono_field.damage_reduction_pct,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_010,Death Wave Armor Stripping,mechanic_param,uw.death_wave.armor_stripping_pct,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_011,Death Wave Cells Bonus,mechanic_param,uw.death_wave.cell_bonus_multiplier,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_013,Death Wave Damage Amplifier,mechanic_param,uw.death_wave.damage_multiplier,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_015,Extra Black Hole,capability,capability.uw.black_hole.extra_black_hole,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Capability binding via routing closure.
LAB_ROUTE_016,Golden Tower Bonus,mechanic_param,uw.golden_tower.bonus_multiplier,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_017,Golden Tower Duration,mechanic_param,uw.golden_tower.duration_seconds,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_018,Missile Amplifier,mechanic_param,uw.smart_missiles.amplifier_multiplier,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_019,Missile Despawn Time,mechanic_param,uw.smart_missiles.despawn_time_seconds,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_020,Missiles Explosion,capability,capability.uw.smart_missiles.explosion,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Capability enable seam.
LAB_ROUTE_021,Shock Chance,mechanic_param,uw.chain_lightning.shock_chance_pct,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_022,Shock Multiplier,mechanic_param,uw.chain_lightning.shock_multiplier,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_024,Spotlight Missiles,mechanic_param,uw.spotlight.missiles_interval_seconds,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_025,Swamp Radius,mechanic_param,uw.poison_swamp.radius_m,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_026,Swamp Stun,capability,capability.uw.poison_swamp.stun,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Capability enable seam distinct from chance/duration.
LAB_ROUTE_027,Swamp Stun Chance,mechanic_param,uw.poison_swamp.stun_chance_pct,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
LAB_ROUTE_028,Swamp Stun Time,mechanic_param,uw.poison_swamp.stun_duration_seconds,unmapped,`Missing binding`,route_bind_needs_ladder_or_formula,missing_ladder,False,True,Direct lab binding via routing closure.
