surface_id,path,domain,status,trust_tier,retrieval_priority,safe_for_first_pass,surface_role,supersedes,deprecated_by,notes
tournaments.bc_curves,kb/tournaments/tables/battle-condition-curves-canonical.csv,tournaments,resolved_derived,1.0,50.0,yes,battle_condition_curves,,,Canonical BC curve surface.
tournaments.bc_resolved,kb/tournaments/tables/tier-battle-condition-resolved-values.csv,tournaments,resolved_derived,1.0,51.0,yes,resolved_tier_bc_values,,,Exact resolved tier BC values where supported.
tournaments.bc_unknown,kb/tournaments/tables/tier-battle-condition-accepted-unknown-boundary.csv,tournaments,accepted_unknown_boundary,1.0,52.0,yes,tier_bc_unknown_boundaries,,,Tier BC rows intentionally accepted as unknown-to-community boundaries.
workshop.aggregate_values,kb/workshop/derived/materialized/workshop-values.csv,workshop,derived_non_primary,3.0,70.0,no,aggregate_view,,,Derived aggregate workshop materialized view; not first-pass canon.
workshop.aggregate_enhancements,kb/workshop/derived/materialized/enhancements-values.csv,workshop,derived_non_primary,3.0,71.0,no,aggregate_view,,,Derived aggregate enhancement materialized view; not first-pass canon.
labs.summary,kb/labs/tables/lab-track-summary.csv,labs,canonical,2.0,72.0,yes,summary_registry,,,Lab ladder summary surface.
labs.application_registry,kb/labs/tables/lab-application-registry.csv,labs,canonical,2.0,73.0,yes,application_registry,,,Lab target-routing registry.
labs.source_registry,kb/labs/tables/lab-source-registry.csv,labs,canonical,2.0,74.0,yes,source_registry,,,Lab source registry.
labs.boundary,kb/labs/tables/lab-simulator-boundary-registry.csv,labs,resolved_boundary_registry,2.0,75.0,yes,lab_boundary_registry,,,Resolved or accepted lab-scope boundaries for simulator use.
uw.runtime_proof,kb/ultimate-weapons/contracts/uw-runtime-proof-matrix.csv,ultimate-weapons,canonical_contract,2.0,80.0,yes,runtime_proof,,,UW runtime proof matrix.
bots.runtime_contract,kb/bots/contracts/bot-runtime-contract.md,bots,canonical_contract,2.0,81.0,yes,runtime_contract,,,Bot runtime contract.
bots.runtime_proof,kb/bots/contracts/bot-runtime-proof-matrix.csv,bots,canonical_contract,2.0,82.0,yes,runtime_proof,,,Bot runtime proof matrix.
profile_knowledge_role_schema,KNOWLEDGE_ROLE_SCHEMA.yaml,active,high,highest,yes,control_plane_schema,,,Knowledge-role definitions for ChatGPT routing.,
profile_knowledge_role_registry,KNOWLEDGE_ROLE_REGISTRY.csv,active,high,highest,yes,control_plane_registry,,,Knowledge-role registry for ChatGPT routing.,
