module_name,slot,trigger,target,effect_param,behavior,rule_confidence,notes
Sharp Fortitude,Armor,while_wall_exists_and_on_wall_thorns_hit,wall_stats_and_enemy_wall_thorns_vulnerability,wall_health_regen_mult_x,"Multiply wall HP and wall regen by listed factor, and for repeated wall-thorns hits on same enemy add +1% wall-thorns damage taken per subsequent hit.",medium,Wall health and regen multiplied by listed x; enemies take +1% increased damage from wall thorns per subsequent hit.
Orbital Augment,Armor,while_orbital_system_active,orbiting_electrons_and_enemy_remaining_hp,electrons_count,"Spawn listed number of Electrons. On Electron hit, deal 15% of current remaining HP, multiplied by 0.25 against Bosses and Fleets.",high,Each Electron deals 15% of enemy remaining health; quarter effective against Bosses and Fleets.
Singularity Harness,Generator,passive_bot_range_and_on_flame_bot_hit,bots_and_flamebot_targets,bot_range_bonus_m,Increase each bot range by listed meters and apply 2x damage-taken state to enemies hit by Flame Bot.,high,All bots gain listed meters of range; enemies hit by Flame Bot receive double damage.
Galaxy Compressor,Generator,on_recovery_package_collected,ultimate_weapon_cooldowns,uw_cooldown_reduction_on_package_s,"When a recovery package is collected, reduce cooldown of all eligible Ultimate Weapons (UWs) except Poison Swamp by listed seconds.",high,Wiki explicitly excludes Poison Swamp.
Pulsar Harvester,Generator,on_projectile_hit,enemy_attack_and_health_levels,level_reduction_proc_pct,"Each projectile hit rolls listed proc chance; on proc, reduce both enemy Health level and Attack level by 1, with diminishing returns after 100 total reductions on that enemy.",high,Each proc reduces both Health and Attack level by 1.
Black Hole Digestor,Generator,on_free_upgrade_triggered_this_wave,coin_kill_bonus,extra_coin_kill_bonus_per_free_upgrade_pct,"For each free-upgrade trigger during current wave, add listed percent to temporary coin/kill bonus for that wave, excluding Tower Range increases as valid triggers.",high,Bonus applies when free upgrade triggers even if no upgrades remain in that category; free upgrades cannot increase Tower Range.
Project Funding,Generator,continuous_from_current_cash,tower_damage_multiplier,cash_digit_multiplier_pct,Compute tower damage multiplier from current cash digit count / logarithmic form; clamp final multiplier to at least x1.00.,high,Wiki note gives effective form (1 + Log(cash) * rarityMult); multiplier never below x1.00.
Restorative Bonus,Generator,on_recovery_package_collected,attack_speed_buff,package_attack_speed_boost_duration_s,"On package pickup, apply 50% attack speed boost for listed seconds and then decay over 60 seconds; new package refreshes timer.",high,New package refreshes effect rather than stacking duration.
Om Chip,Core,while_spotlight_active_and_boss_present,boss_focused_spotlight_and_nearby_enemies,reflected_damage_taken_mult_x,Retarget Spotlight to the boss and cause reflected light around that boss to increase nearby enemies damage taken by listed multiplier.,medium,Spotlight rotates to focus a boss.
Harmony Conductor,Core,on_poisoned_enemy_attack_attempt,poisoned_enemy_attack_resolution,miss_attack_chance_pct,"When a poisoned enemy attempts an attack, roll listed miss chance; halve that chance for bosses.",high,Boss chance is halved.
Dimension Core,Core,on_chain_lightning_resolution_and_shock_application,chain_lightning_and_shock_state,max_shock_stacks,"Allow CL to hit initial target with 60% chance, double shock chance and base shock multiplier, and when shock reapplies to same enemy additively accumulate multiplier up to listed stack count.",high,CL has 60% chance to hit initial target; shock chance and multiplier doubled. Wiki note: base shock mult with max lab 1.66x becomes 2.32x after doubling; total stack form 1 + 1.32*n.
Multiverse Nexus,Core,on_uw_cooldown_schedule,DW_GT_BH_cooldowns,synced_uw_cooldown_offset_s,"Compute shared cooldown from average of DW, GT, BH base cooldowns adjusted by listed offset, then schedule all three to fire simultaneously on that unified cooldown.",high,"Wiki says Death Wave, Golden Tower, and Black Hole always activate at same time; cooldown is average of three plus/minus listed seconds. At Ancestral the offset is -10s."
Magnetic Hook,Core,on_boss_enter_range_and_on_elite_enter_range,bosses_and_elites,ilm_fired_count,"When boss enters tower range, fire listed number of ILM at it; when elite enters range, do same on a fixed 25% trigger.",high,Fires ILM at bosses as they enter tower range; 25% of elites also get targeted.
Primordial Collapse,Core,while_black_hole_active,black_hole_system_and_enemy_damage_inside_bh,in_bh_enemy_damage_reduction_pct,"Spawn one extra Black Hole and, while enemies are inside any Black Hole, reduce their outgoing damage by listed percent.",high,Spawns one additional Black Hole.
