vault_canonical_id,input_field,input_semantics,unit,input_scope,status,why_externalized,allowed_use,prohibited_use,source_basis
VAULT__TOWER__KNOCKBACK_CHANCE__PCT,tower_knockback_chance_pct,Resolved account-level vault contribution for tower_knockback_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__KNOCKBACK_FORCE__PCT,tower_knockback_force,Resolved account-level vault contribution for tower_knockback_force,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__ORB_SPEED__PCT,tower_orb_speed_rpm,Resolved account-level vault contribution for tower_orb_speed_rpm,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__DEATH_DEFY__PCT,tower_death_defy_chance_pct,Resolved account-level vault contribution for tower_death_defy_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__CASH__PCT,cash_kill_multiplier,Resolved account-level vault contribution for cash_kill_multiplier,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__CASH_PER_WAVE__PCT,cash_per_wave,Resolved account-level vault contribution for cash_per_wave,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__COINS_PER_KILL__PCT,coin_kill_multiplier,Resolved account-level vault contribution for coin_kill_multiplier,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__COINS_PER_WAVE__PCT,coins_per_wave,Resolved account-level vault contribution for coins_per_wave,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__FREE_ATTACK_UPGRADE__PCT,free_attack_upgrade_chance_pct,Resolved account-level vault contribution for free_attack_upgrade_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__FREE_DEFENSE_UPGRADE__PCT,free_defense_upgrade_chance_pct,Resolved account-level vault contribution for free_defense_upgrade_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__FREE_UTILITY_UPGRADE__PCT,free_utility_upgrade_chance_pct,Resolved account-level vault contribution for free_utility_upgrade_chance_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__INTEREST_PER_WAVE__PCT,interest_per_wave_pct,Resolved account-level vault contribution for interest_per_wave_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__RECOVERY_AMOUNT__PCT,recovery_amount_pct,Resolved account-level vault contribution for recovery_amount_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__MAX_RECOVERY__PCT,max_recovery_multiplier,Resolved account-level vault contribution for max_recovery_multiplier,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__ENEMY_ATTACK_SKIP__PCT,enemy_attack_level_skip_pct,Resolved account-level vault contribution for enemy_attack_level_skip_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
VAULT__TOWER__ENEMY_HEALTH_SKIP__PCT,enemy_health_level_skip_pct,Resolved account-level vault contribution for enemy_health_level_skip_pct,pct,account_resolved_vault_bonus,externalized_allowed_input,KB bundles routing and identity but not authoritative per-level numeric node ladder for this vault stat,Accept explicit resolved account bonus as simulator input and apply to mapped destination only,Do not infer from tree tier counts or invent ladder values,kb/economy/tables/vault-node-effect-registry.csv
