node_id,contributor_id,tree_id,effect_class,destination_object_type,destination_id,resolver,numeric_ladder_status,tier_rule,notes,source
VAULT__TOWER__SHOCKWAVE_FREQUENCY__PCT,vault__tower__shockwave_frequency__pct,power,tower_or_runtime_stat,canonical_stat,tower_shockwave_interval_seconds,standard_scalar_stat,single_level_wiki_confirmed_no_full_numeric_ladder_needed,single_level_only,Power tree stat node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__DEATH_DEFY__PCT,vault__tower__death_defy__pct,power,tower_or_runtime_stat,canonical_stat,tower_death_defy_chance_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__WALL_REBUILD__SECONDS_REDUCTION,vault__tower__wall_rebuild__seconds_reduction,power,tower_or_runtime_stat,canonical_stat,wall_rebuild_seconds,standard_scalar_stat,single_level_wiki_confirmed_no_full_numeric_ladder_needed,single_level_only,Power tree stat node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__CASH__PCT,vault__tower__cash__pct,power,tower_or_runtime_stat,canonical_stat,cash_kill_multiplier,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__CASH_PER_WAVE__PCT,vault__tower__cash_per_wave__pct,power,tower_or_runtime_stat,canonical_stat,cash_per_wave,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__COINS_PER_KILL__PCT,vault__tower__coins_per_kill__pct,power,tower_or_runtime_stat,canonical_stat,coin_kill_multiplier,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__COINS_PER_WAVE__PCT,vault__tower__coins_per_wave__pct,power,tower_or_runtime_stat,canonical_stat,coins_per_wave,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__FREE_ATTACK_UPGRADE__PCT,vault__tower__free_attack_upgrade__pct,power,tower_or_runtime_stat,canonical_stat,free_attack_upgrade_chance_pct,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__FREE_DEFENSE_UPGRADE__PCT,vault__tower__free_defense_upgrade__pct,power,tower_or_runtime_stat,canonical_stat,free_defense_upgrade_chance_pct,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__FREE_UTILITY_UPGRADE__PCT,vault__tower__free_utility_upgrade__pct,power,tower_or_runtime_stat,canonical_stat,free_utility_upgrade_chance_pct,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__INTEREST_PER_WAVE__PCT,vault__tower__interest_per_wave__pct,power,tower_or_runtime_stat,canonical_stat,interest_per_wave_pct,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__RECOVERY_AMOUNT__PCT,vault__tower__recovery_amount__pct,power,tower_or_runtime_stat,canonical_stat,recovery_amount_pct,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__MAX_RECOVERY__PCT,vault__tower__max_recovery__pct,power,tower_or_runtime_stat,canonical_stat,max_recovery_multiplier,standard_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__ENEMY_ATTACK_SKIP__PCT,vault__tower__enemy_attack_skip__pct,power,tower_or_runtime_stat,canonical_stat,enemy_attack_level_skip_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__TOWER__ENEMY_HEALTH_SKIP__PCT,vault__tower__enemy_health_skip__pct,power,tower_or_runtime_stat,canonical_stat,enemy_health_level_skip_pct,pct_capped_scalar_stat,externalized_input_boundary,power_t1_t2_t3_with_2x_then_4x_cost_rule,Power tree stat node; numeric bonus accepted via explicit externalized input boundary,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__UNLOCK__DEMON_MODE_AUTOMATION__BOOLEAN,vault__unlock__demon_mode_automation__boolean,harmony,unlock_or_account_flag,account_flag,account_flag.demon_mode_automation,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__UNLOCK__SMART_DEMON_MODE_AUTOMATION__BOOLEAN,vault__unlock__smart_demon_mode_automation__boolean,harmony,unlock_or_account_flag,account_flag,account_flag.smart_demon_mode_automation,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__UNLOCK__FREE_MISSION_REROLL__BOOLEAN,vault__unlock__free_mission_reroll__boolean,harmony,unlock_or_account_flag,account_flag,account_flag.free_mission_reroll,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__UNLOCK__NUKE_AUTOMATION__BOOLEAN,vault__unlock__nuke_automation__boolean,harmony,unlock_or_account_flag,account_flag,account_flag.nuke_automation,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__UNLOCK__SMART_NUKE_AUTOMATION__BOOLEAN,vault__unlock__smart_nuke_automation__boolean,harmony,unlock_or_account_flag,account_flag,account_flag.smart_nuke_automation,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__UNLOCK__WORKSHOP_PRESETS__BOOLEAN,vault__unlock__workshop_presets__boolean,harmony,unlock_or_account_flag,account_flag,account_flag.workshop_presets,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
VAULT__UNLOCK__MISSILE_BARRAGE_AUTOMATION__BOOLEAN,vault__unlock__missile_barrage_automation__boolean,harmony,unlock_or_account_flag,account_flag,account_flag.missile_barrage_automation,capability_passthrough,structural_unlock_wiki_confirmed,not_a_numeric_tiered_stat,Harmony tree unlock/capability node,kb/global-rules/contracts/contributor-mappings-full.yaml + live wiki The Vault page
