formula_id,formula_name,formula_cluster,formula_domain,formula_type,source_surface,status,known_issue_flag,issue_note,excel_definition_excerpt,notes,authority_classification,authority_reason_code
ep_lambda_epd_rapidfire,EPD_RAPIDFIRE,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(rfc, rfd, bps, (1 + 4 * RFC*RFD*BPS) / (1 + RFC*RFD*BPS))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_rfc,EPD_RFC,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, substat, vault, LET(   WS, ws_level * 0.4%,   VaultBonus, 1 + vault, (WS + Substat) * VaultBonus))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_rfd,EPD_RFD,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_level, substat, LET(   WS, 0.6 + ws_level * 0.05, WS + Substat))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epd_uwcritical,EPD_UWCRITICAL,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(cc, cf, scc, scm, (1+CC*CF)*(1+CC*SCC*SCM))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_epg_assist_sub_cap,EPG_ASSIST_SUB_CAP,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(has_assist, stone_cap, lab_cap, IF(has_assist, (1 + stone_cap + lab_cap) / 100, 0))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_ep_cl_dps,EP_CL_DPS,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(cl_damage, cl_quant, cl_chance, multi_rapid_bounce, bullet_per_second, cl_damage*cl_quant*cl_chance *multi_rapid_bounce*bullet_per_second)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_ep_dw_dps,EP_DW_DPS,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(hasdw, dwdamage, dwquantity, dwcooldown, dwdamageamp, IF(hasdw, DWDamage/DWCooldown* DwQuantity* (5+ dwDamageAmp*1.5), 0))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_ep_slm_dps,EP_SLM_DPS,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(sm_damage, sl_damage, sm_cooldown, sm_heat, sm_aoe, sm_heat * sm_aoe * sm_damage * sl_damage / sm_cooldown)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_ep_sl_final_bonus,EP_SL_FINAL_BONUS,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(sl_coverage, sl_bonus, 1 + (sl_bonus-1) * sl_coverage)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_ep_sm_dps,EP_SM_DPS,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(sm_damage, sm_quant, sm_cooldown, sm_coverfire, sm_heat, sm_aoe, sm_heat * sm_aoe * (sm_damage * sm_quant / sm_cooldown + sm_coverfire))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_ep_uw_sl_coverage,EP_UW_SL_COVERAGE,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(sl_quant, sl_angle, MIN(100%, sl_quant * sl_angle / 360))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_ep_uw_total_damage,EP_UW_TOTAL_DAMAGE,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(dw, cl, sm, slm, sl, ps, ilm, uw_damage_boost, st_uw_mastery, uw_crit_card, uw_damage_boost * ((DW+SM+CL+PS+ILM) * SL * st_uw_mastery + SLM) * uw_crit_card * st_uw_mastery)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_cl_final_ch,STAT_UW_CL_FINAL_CH,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, (base+substat))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_cl_final_dmg,STAT_UW_CL_FINAL_DMG,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, hasperk, (base+substat)*IF(HasPerk,2,1))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_cl_final_qty,STAT_UW_CL_FINAL_QTY,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, hasdc, FLOOR(base+substat) + IF(HasDC,0.6,0))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_dw_final_cd,STAT_UW_DW_FINAL_CD,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, gcompreduction, (base+substat)*gcompreduction)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_dw_final_dmg,STAT_UW_DW_FINAL_DMG,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, base+substat)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_dw_final_qty,STAT_UW_DW_FINAL_QTY,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, hasperk, FLOOR(base+substat+IF(hasperk,1,0)))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_sl_final_angle,STAT_UW_SL_FINAL_ANGLE,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, (base+substat))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_sl_final_dmg,STAT_UW_SL_FINAL_DMG,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, sl_lightrange, substat, relic, vault, has_perk, (base+substat)*(1+relic)*(1+vault)* IF(has_perk, 1.5, 1)*sl_lightrange)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_sl_final_lr,STAT_UW_SL_FINAL_LR,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(sl_lightrange, dpm, 1+IF(ISNUMBER(sl_lightrange), sl_lightrange * (dpm-1), 0))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_sm_final_cd,STAT_UW_SM_FINAL_CD,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, gcompreduction, (base+substat)*gcompreduction)",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_sm_final_cf,STAT_UW_SM_FINAL_CF,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(sm_damage, cf_time, IF(ISNUMBER(cf_time), sm_damage * (1 / cf_time), 0))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_sm_final_dmg,STAT_UW_SM_FINAL_DMG,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, (base+substat))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_stat_uw_sm_final_qty,STAT_UW_SM_FINAL_QTY,eDamage_mechanics,damage,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(base, substat, has_perk, FLOOR((base+substat) + IF(has_perk, 4, 0)))",From workbook defined name.,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_eph_max_rcvr,EPH_MAX_RCVR,eHP_mechanics,survivability,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_val, lab_lvl, stone_sac, lab_sac, prim_sub, ass_sub, wse_lvl, vault_pct, LET(   WS, ws_val,   LAB, 1% * lab_lvl,   SAC, (1 + stone_sac + lab_sac) * 0.01,   SUBSTAT, prim_sub + ass_sub * SAC,   WSE, 1 + 0.01 * wse_lvl,   VAULT, 1 +",From workbook defined name (user-provided wiki/sheet extract in prompt).,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_eph_health,EPH_HEALTH,eHP_mechanics,survivability,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_val, lab_lvl, has_card, card_val, has_mastery, mastery_lvl, wse_lvl, has_perk, spb_lvl, has_cto, has_rto, relic_pct, vault_pct, has_dwhp, dwhp_lvl, LET(   WS, ws_val,   LAB, 1 + 0.03 * lab_lvl,   CARD, IF(has_card, card_val * IF(h","From workbook defined name (user-provided wiki/sheet extract in prompt). Perk/trade-off constants map to perk table entries in tables/inputs/perks/perks_v1.csv (x1.20 Max Health, x1.80 coins but Tower Max Health -70%, Tower Health Regen x8.00 but Tower Max Max Health -60%).",intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_eph_regen,EPH_REGEN,eHP_mechanics,survivability,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_val, lab_lvl, has_card, card_val, has_mastery, mastery_lvl, stone_sac, lab_sac, prim_sub, ass_sub, wse_lvl, has_perk, spb_lvl, has_rgnto, has_rto, ito_lvl, relic_pct, vault_pct, has_swm, swm_lvl, LET(   WS, ws_val,   LAB, 1 + 0.03","From workbook defined name (user-provided wiki/sheet extract in prompt). Perk/trade-off constants map to perk table entries in tables/inputs/perks/perks_v1.csv (x1.75 Health Regen, Enemies Have -50% Health but Tower Health Regen and Lifesteal -90%, Tower Health Regen x8.00 but Tower Max Max Health -60%).",intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_eph_def_pct,EPH_DEF_PCT,eHP_mechanics,survivability,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_val, lab_lvl, has_card, card_val, has_mastery, mastery_lvl, stone_sac, lab_sac, prim_sub, ass_sub, has_perk, spb_lvl, relic_pct, vault_pct, LET(   WS, ws_val,   LAB, 0.2% * lab_lvl,   CARD, IF(has_card, card_val + IF(has_mastery, ",From workbook defined name (user-provided wiki/sheet extract in prompt). Perk constants map to perk table entries in tables/inputs/perks/perks_v1.csv (Defense Percent +4.00).,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_eph_dabs,EPH_DABS,eHP_mechanics,survivability,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_val, lab_lvl, has_card, card_val, stone_sac, lab_sac, prim_sub, ass_sub, wse_lvl, has_perk, spb_lvl, relic_pct, vault_pct, LET(   WS, ws_val,   LAB, 1 + 0.03 * lab_lvl,   CARD, IF(has_card, card_val, 1),   SAC, (1 + stone_sac + la",From workbook defined name (user-provided wiki/sheet extract in prompt). Perk constants map to perk table entries in tables/inputs/perks/perks_v1.csv (x1.15 Defense Absolute).,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_eph_armor,EPH_ARMOR,eHP_mechanics,survivability,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(prim_bonus, has_ass, ass_bonus, stone_bac, lab_bac, prim_bonus * IF(has_ass, (((ass_bonus - 1) * (1 + stone_bac + lab_bac) * 0.01) + 1), 1))",From workbook defined name (user-provided wiki/sheet extract in prompt).,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_eph_wall_health,EPH_WALL_HEALTH,eHP_mechanics,survivability,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(ws_val, lab_lvl, stone_sac, lab_sac, prim_sub, ass_sub, wse_lvl, prim_effect, ass_effect, fort_lvl, LET(   LAB, 2% * lab_lvl,   SAC, (1 + stone_sac + lab_sac) * 0.01,   SUBSTAT, prim_sub + ass_sub * SAC,   WSE, 1 + 0.01 * wse_lvl,   ",From workbook defined name (user-provided wiki/sheet extract in prompt).,intentionally_de_scoped,ep_source_audit_blocked
ep_lambda_eph_wall_regen,EPH_WALL_REGEN,eHP_mechanics,survivability,excel_named_formula,kb/ledgers/sources/raw/repo-meta/registry/ep-formulas/mechanics-library.yaml,intentionally_de_scoped,no,,"LAMBDA(lab_lvl, prim_effect, ass_effect, LET(   SF, IF(prim_effect + ass_effect <> 0, prim_effect + ass_effect, 1),  (10% * lab_lvl) * SF))",From workbook defined name (user-provided wiki/sheet extract in prompt).,intentionally_de_scoped,ep_source_audit_blocked
